filepath,filename,sti_score,standard_noise_percent,standard_reverb_percent,standard_noise_loss,standard_reverb_loss,simple_noise_percent,simple_reverb_percent,simple_noise_loss,simple_reverb_loss,snr_per_band,avg_snr,ti_per_band,ti_mtf,ti_noise,theoretical_rt60,theoretical_snr
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.04s_ambient noise_SNR0dB.wav,stipa_1.04s_ambient noise_SNR0dB.wav,0.567,56.678,43.322,0.287,0.220,66.373,33.627,0.287,0.146,"[np.float64(-4.798160462171143), np.float64(17.92495373540727), np.float64(8.03892553029247), np.float64(11.839483585450331), np.float64(7.895117049560345), np.float64(5.569425994659385), np.float64(3.009045337518741)]",7.068,"[0.34006132 0.77737172 0.6251393  0.69809224 0.60723377 0.52695708
 0.4542375 ]","[0.43987276 0.77737172 0.6251393  0.69809224 0.60723377 0.52695708
 0.4542375 ]","[0.34006132 1.         0.76796418 0.89464945 0.76317057 0.68564753
 0.60030151]",1.040,0.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.04s_ambient noise_SNR10dB.wav,stipa_1.04s_ambient noise_SNR10dB.wav,0.687,24.868,75.132,0.078,0.234,24.776,75.224,0.078,0.235,"[np.float64(1.5807117173452054), np.float64(27.90057373984441), np.float64(18.04000458890183), np.float64(21.84219490179455), np.float64(17.892445487036994), np.float64(15.570693002612517), np.float64(12.991254022941302)]",16.545,"[0.49058046 0.82888612 0.74581475 0.80923529 0.74142544 0.66085717
 0.59290767]","[0.49058046 0.82888612 0.74581475 0.80923529 0.74142544 0.66085717
 0.59290767]","[0.55269039 1.         1.         1.         1.         1.
 0.9330418 ]",1.040,10.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.30s_ambient noise_SNR-10dB.wav,stipa_1.30s_ambient noise_SNR-10dB.wav,0.457,47.013,52.987,0.305,0.343,56.099,43.901,0.305,0.238,"[np.float64(-6.4696994023090015), np.float64(3.371159204428769), np.float64(7.983532491977342), np.float64(8.853020754516441), np.float64(12.301080251479268), np.float64(6.239016699236263), np.float64(8.077729734675694)]",5.765,"[0.28434335 0.46636109 0.49102404 0.43158267 0.50345489 0.51001612
 0.50648056]","[0.44330038 0.46636109 0.49102404 0.43158267 0.50345489 0.51001612
 0.50648056]","[0.28434335 0.61237197 0.76611775 0.79510069 0.91003601 0.70796722
 0.76925766]",1.300,-10.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.30s_ambient noise_SNR0dB.wav,stipa_1.30s_ambient noise_SNR0dB.wav,0.522,20.551,79.449,0.100,0.388,21.009,78.991,0.100,0.378,"[np.float64(-4.107856999977485), np.float64(13.358774456892004), np.float64(17.984578580425264), np.float64(18.885688158098727), np.float64(22.30117600375003), np.float64(16.237671674844165), np.float64(18.075109490971716)]",14.676,"[0.36307143 0.56179882 0.55077354 0.460403   0.53282401 0.61189531
 0.567734  ]","[0.44620096 0.56179882 0.55077354 0.460403   0.53282401 0.61189531
 0.567734  ]","[0.36307143 0.94529248 1.         1.         1.         1.
 1.        ]",1.300,0.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.30s_ambient noise_SNR10dB.wav,stipa_1.30s_ambient noise_SNR10dB.wav,0.554,13.742,86.258,0.061,0.381,13.631,86.369,0.061,0.385,"[np.float64(3.2899432496856567), np.float64(23.355019756100162), np.float64(27.98433658153354), np.float64(28.893844414082533), np.float64(32.30184429991024), np.float64(26.238690571285645), np.float64(28.073181090128756)]",24.305,"[0.51090488 0.58601807 0.56520049 0.46754974 0.5394924  0.63813576
 0.58083142]","[0.51090488 0.58601807 0.56520049 0.46754974 0.5394924  0.63813576
 0.58083142]","[0.60966477 1.         1.         1.         1.         1.
 1.        ]",1.300,10.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.55s_ambient noise_SNR-10dB.wav,stipa_1.55s_ambient noise_SNR-10dB.wav,0.408,89.558,10.442,0.455,0.053,76.888,23.112,0.455,0.137,"[np.float64(-3.8925868573503157), np.float64(3.825116528863688), np.float64(7.082903935261604), np.float64(2.9128946464869667), np.float64(0.964330837858655), np.float64(-3.024842546747648), np.float64(4.997467780161977)]",1.838,"[0.3702471  0.43641449 0.53449337 0.39992888 0.40244063 0.30050151
 0.48972156]","[0.43467861 0.43641449 0.53449337 0.39992888 0.40244063 0.30050151
 0.48972156]","[0.3702471  0.62750388 0.7360968  0.59709649 0.53214436 0.39917192
 0.66658226]",1.550,-10.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.55s_ambient noise_SNR0dB.wav,stipa_1.55s_ambient noise_SNR0dB.wav,0.531,27.774,72.226,0.145,0.378,31.008,68.992,0.145,0.324,"[np.float64(3.1639782381451913), np.float64(13.799776766548957), np.float64(17.10585939965176), np.float64(12.999016261669574), np.float64(10.95084658624614), np.float64(6.955049252680502), np.float64(14.997648307930707)]",11.425,"[0.4829453  0.51371866 0.62069084 0.46151879 0.55673596 0.51138209
 0.60279458]","[0.4829453  0.51371866 0.62069084 0.46151879 0.55673596 0.51138209
 0.60279458]","[0.60546594 0.95999256 1.         0.93330054 0.86502822 0.73183498
 0.99992161]",1.550,0.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.55s_ambient noise_SNR10dB.wav,stipa_1.55s_ambient noise_SNR10dB.wav,0.576,4.579,95.421,0.020,0.418,4.734,95.266,0.020,0.404,"[np.float64(12.677077610118046), np.float64(23.79212709218706), np.float64(27.112269301394395), np.float64(23.01539216268736), np.float64(20.943632225350356), np.float64(16.955682359729842), np.float64(24.990924842064715)]",21.355,"[0.55843757 0.53364313 0.64244851 0.47704768 0.60421084 0.60250641
 0.63175111]","[0.55843757 0.53364313 0.64244851 0.47704768 0.60421084 0.60250641
 0.63175111]","[0.92256925 1.         1.         1.         1.         1.
 1.        ]",1.550,10.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.88s_ambient noise_SNR-10dB.wav,stipa_1.88s_ambient noise_SNR-10dB.wav,0.441,69.763,30.237,0.409,0.177,73.158,26.842,0.409,0.150,"[np.float64(-5.09279465100432), np.float64(6.7465474751002965), np.float64(-0.15360324919945756), np.float64(6.256374873835416), np.float64(3.5477826441871136), np.float64(2.294714164050882), np.float64(6.125909913426413)]",2.818,"[0.33024018 0.54734902 0.37679391 0.45565983 0.44624664 0.45393144
 0.48321111]","[0.43879288 0.54734902 0.37679391 0.45565983 0.44624664 0.45393144
 0.48321111]","[0.33024018 0.72488492 0.49487989 0.70854583 0.61825942 0.57649047
 0.704197  ]",1.880,-10.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.88s_ambient noise_SNR0dB.wav,stipa_1.88s_ambient noise_SNR0dB.wav,0.551,24.268,75.732,0.115,0.360,25.713,74.287,0.115,0.333,"[np.float64(0.590637869710841), np.float64(16.739544210640997), np.float64(9.890592496633504), np.float64(16.268910927689287), np.float64(13.592420575251904), np.float64(12.301895296921781), np.float64(16.114989063363836)]",12.214,"[0.44477092 0.64273473 0.49250044 0.5081786  0.56105755 0.62803694
 0.57164918]","[0.44477092 0.64273473 0.49250044 0.5081786  0.56105755 0.62803694
 0.57164918]","[0.51968793 1.         0.82968642 1.         0.95308069 0.91006318
 1.        ]",1.880,0.000
