File Name,Overall STIPA Score
stipa_Californian Tall Ship Deck 4_ambient noise_SNR0dB.wav,0.8229302082126038
stipa_Californian Tall Ship Deck 4_ambient noise_SNR10dB.wav,0.885802946823776
stipa_Californian Tall Ship Deck 4_ambient noise_SNR15dB.wav,0.8902639875903247
stipa_Californian Tall Ship Deck 4_ambient noise_SNR20dB.wav,0.8920932237512724
stipa_Californian Tall Ship Deck 4_ambient noise_SNR5dB.wav,0.8771485191754892
stipa_Cliff of the Dawn Cancun Quintana Roo 5_ambient noise_SNR0dB.wav,0.8079968721132539
stipa_Cliff of the Dawn Cancun Quintana Roo 5_ambient noise_SNR10dB.wav,0.8694595160856529
stipa_Cliff of the Dawn Cancun Quintana Roo 5_ambient noise_SNR15dB.wav,0.8734280554867435
stipa_Cliff of the Dawn Cancun Quintana Roo 5_ambient noise_SNR20dB.wav,0.8750646640065965
stipa_Cliff of the Dawn Cancun Quintana Roo 5_ambient noise_SNR5dB.wav,0.8613325783268166
stipa_JFK Underpass Golden Gate Park San Francisco California 3_ambient noise_SNR0dB.wav,0.5458109976562151
stipa_JFK Underpass Golden Gate Park San Francisco California 3_ambient noise_SNR10dB.wav,0.604863964620487
stipa_JFK Underpass Golden Gate Park San Francisco California 3_ambient noise_SNR15dB.wav,0.6091410614963411
stipa_JFK Underpass Golden Gate Park San Francisco California 3_ambient noise_SNR20dB.wav,0.6108201595433473
stipa_JFK Underpass Golden Gate Park San Francisco California 3_ambient noise_SNR5dB.wav,0.5848411534998164
stipa_Meadowbrook Tunnel Storm Drain Poway California 2_ambient noise_SNR0dB.wav,0.6003080688290989
stipa_Meadowbrook Tunnel Storm Drain Poway California 2_ambient noise_SNR10dB.wav,0.6404378142429102
stipa_Meadowbrook Tunnel Storm Drain Poway California 2_ambient noise_SNR15dB.wav,0.6442030448725539
stipa_Meadowbrook Tunnel Storm Drain Poway California 2_ambient noise_SNR20dB.wav,0.6446251875695296
stipa_Meadowbrook Tunnel Storm Drain Poway California 2_ambient noise_SNR5dB.wav,0.6283123229935653
stipa_St Paul's Cathedral San Diego California 1_ambient noise_SNR0dB.wav,0.3783331121183007
stipa_St Paul's Cathedral San Diego California 1_ambient noise_SNR10dB.wav,0.3963083351071006
stipa_St Paul's Cathedral San Diego California 1_ambient noise_SNR15dB.wav,0.3981011121750128
stipa_St Paul's Cathedral San Diego California 1_ambient noise_SNR20dB.wav,0.39873192110705097
stipa_St Paul's Cathedral San Diego California 1_ambient noise_SNR5dB.wav,0.39128896890999965
