File Name,125 Hz,250 Hz,500 Hz,1000 Hz,2000 Hz,4000 Hz,8000 Hz
stipa_Californian Tall Ship Deck 4_ambient noise_SNR-10dB.wav,0.1842331507279548,0.4684723699428716,1.0,0.7463702042570809,0.4292284130237208,0.7147919069342281,0.8333862831635621
stipa_Californian Tall Ship Deck 4_ambient noise_SNR-15dB.wav,0.04176491499719728,0.29294157497346834,0.8126663206513592,0.5593130395622042,0.3178144513405935,0.5151200718557443,0.6064270852101429
stipa_Californian Tall Ship Deck 4_ambient noise_SNR-5dB.wav,0.35667171816710586,0.6530648862116581,1.0,0.9009883184785359,0.5,1.0,0.9840859344166808
stipa_Cliff of the Dawn Cancun Quintana Roo 5_ambient noise_SNR-10dB.wav,0.2513364670366772,0.7544006126675247,0.6209966066158494,0.5209701963012294,0.22560516859085594,0.47974221782984083,0.6382480069723249
stipa_Cliff of the Dawn Cancun Quintana Roo 5_ambient noise_SNR-15dB.wav,0.11144147292079895,0.5704533571465027,0.42990699227782414,0.3579749667178235,0.13851403871828696,0.2974434579773207,0.4716951244578711
stipa_Cliff of the Dawn Cancun Quintana Roo 5_ambient noise_SNR-5dB.wav,0.4101247948364004,0.9390191642293002,0.8838316245421924,0.6808215823296073,0.34396253298034346,0.6710952735022602,0.8443377616991218
stipa_JFK Underpass Golden Gate Park San Francisco California 3_ambient noise_SNR-10dB.wav,0.06799845196475701,0.42863196618203026,0.7620592437412771,0.3724928091523213,0.24799410982240858,0.335839383802383,0.6016618092637905
stipa_JFK Underpass Golden Gate Park San Francisco California 3_ambient noise_SNR-15dB.wav,0.04927889122921947,0.3186684416716454,0.5616575055153865,0.2639056491221578,0.16725592197975817,0.14898501485549007,0.45914618988985667
stipa_JFK Underpass Golden Gate Park San Francisco California 3_ambient noise_SNR-5dB.wav,0.17799151993506135,0.4978681828219055,0.779894716765821,0.43313925277796006,0.32004499748740806,0.49232056184394535,0.7280935942360695
stipa_Meadowbrook Tunnel Storm Drain Poway California 2_ambient noise_SNR-10dB.wav,0.059447864049423385,0.571996585760145,0.42933803672941306,0.46824008568452546,0.32492073287829654,0.5401452251851222,0.5951513183255303
stipa_Meadowbrook Tunnel Storm Drain Poway California 2_ambient noise_SNR-15dB.wav,0.017715783520485456,0.4634182984542877,0.3043966821448657,0.3762109567792611,0.2512061317844311,0.3750320633254056,0.4671872218276617
stipa_Meadowbrook Tunnel Storm Drain Poway California 2_ambient noise_SNR-5dB.wav,0.16858098855621928,0.64861554645585,0.5422065499203509,0.5184012379663,0.38855630898687793,0.6979361913017996,0.7081847112332191
stipa_St Paul's Cathedral San Diego California 1_ambient noise_SNR-10dB.wav,0.1835037320457732,0.2350207182578428,0.43468725491748417,0.1571294597377251,0.17936045420676822,0.39454786325186225,0.3758329155507383
stipa_St Paul's Cathedral San Diego California 1_ambient noise_SNR-15dB.wav,0.042096910461716035,0.17686635256207925,0.3224112294906351,0.11787360873647203,0.11009855354175825,0.2875503806767935,0.33099139463529154
stipa_St Paul's Cathedral San Diego California 1_ambient noise_SNR-5dB.wav,0.316415308476403,0.30139382376710205,0.5379425053425038,0.1729303823816758,0.22002181176437663,0.4584552150355411,0.3937338598471655
